Death_Rate Doctors Hospitals Income Pop_Density
8.00 78.00 284.00 9.10 109.00
9.30 68.00 433.00 8.70 144.00
7.50 70.00 739.00 7.20 113.00
8.90 96.00 1792.00 8.90 97.00
10.20 74.00 477.00 8.30 206.00
8.30 111.00 362.00 10.90 124.00
8.80 77.00 671.00 10.00 152.00
8.80 168.00 636.00 9.10 162.00
10.70 82.00 329.00 8.70 150.00
11.70 89.00 634.00 7.60 134.00
8.50 149.00 631.00 10.80 292.00
8.30 60.00 257.00 9.50 108.00
8.20 96.00 284.00 8.80 111.00
7.90 83.00 603.00 9.50 182.00
10.30 130.00 686.00 8.70 129.00
7.40 145.00 345.00 11.20 158.00
9.60 112.00 1357.00 9.70 186.00
9.30 131.00 544.00 9.60 177.00
10.60 80.00 205.00 9.10 127.00
9.70 130.00 1264.00 9.20 179.00
11.60 140.00 688.00 8.30 80.00
8.10 154.00 354.00 8.40 103.00
9.80 118.00 1632.00 9.40 101.00
7.40 94.00 348.00 9.80 117.00
9.40 119.00 370.00 10.40 88.00
11.20 153.00 648.00 9.90 78.00
9.10 116.00 366.00 9.20 102.00
10.50 97.00 540.00 10.30 95.00
11.90 176.00 680.00 8.90 80.00
8.40 75.00 345.00 9.60 92.00
5.00 134.00 525.00 10.30 126.00
9.80 161.00 870.00 10.40 108.00
9.80 111.00 669.00 9.70 77.00
10.80 114.00 452.00 9.60 60.00
10.10 142.00 430.00 10.70 71.00
10.90 238.00 822.00 10.30 86.00
9.20 78.00 190.00 10.70 93.00
8.30 196.00 867.00 9.60 106.00
7.30 125.00 969.00 10.50 162.00
9.40 82.00 499.00 7.70 95.00
9.40 125.00 925.00 10.20 91.00
9.80 129.00 353.00 9.90 52.00
3.60 84.00 288.00 8.40 110.00
8.40 183.00 718.00 10.40 69.00
10.80 119.00 540.00 9.20 57.00
10.10 180.00 668.00 13.00 106.00
9.00 82.00 347.00 8.80 40.00
10.00 71.00 345.00 9.20 50.00
11.30 118.00 463.00 7.80 35.00
11.30 121.00 728.00 8.20 86.00
12.80 68.00 383.00 7.40 57.00
10.00 112.00 316.00 10.40 57.00
6.70 109.00 388.00 8.90 94.00
