 0.410386501    0.123074525    0.064469975    0.000710314   -0.068571163    0.044974839   0.185849917    0.018561366    0.186619739    0.059487138    0.121920680    0.080190469  -0.065119610    0.009544571    0.135225765    0.037025157    0.131541919    0.048911642
 0.123074525    0.635484906   -0.036347658    0.040406990   -0.038551163   -0.022440900	  0.018306382    0.097013678    0.000199112    0.109469517    0.093488777    0.165475950   0.024417302   -0.124729137   -0.000103681    0.100731424    0.023472610    0.071195061
 0.064469975   -0.036347658    0.769623146    0.239269490   -0.034492607    0.040895599	 -0.095338105   -0.134106023    0.013945339   -0.049231925    0.267558055    0.126387460   0.208218549    0.097905498   -0.028486218   -0.042667641   -0.217159347   -0.100420748
 0.000710314    0.040406990    0.239269490    0.757044169   -0.009814209   -0.015303899	 -0.112351463   -0.148270274   -0.017425832   -0.013402612    0.133634428    0.261049785   0.075692341    0.199322071   -0.021572180    0.006347206   -0.075944564   -0.161520129
-0.068571163   -0.038551163   -0.034492607   -0.009814209    0.450327310   -0.117569057	 -0.269246172    0.090285673   -0.124120834    0.015839207   -0.034680611   -0.030413701  -0.375855486    0.051165198    0.062182301   -0.020560320   -0.051961100    0.012259658
 0.044974839   -0.022440900    0.040895599   -0.015303899   -0.117569057    0.493395458	  0.045452205   -0.375085204    0.052886347   -0.083577614    0.097644736    0.091320407   0.130018894   -0.394530338   -0.021440936    0.080337543   -0.006771764   -0.127105889
 0.185849917    0.018306382   -0.095338105   -0.112351463   -0.269246172    0.045452205	  0.720981960    0.180250812    0.239334465    0.053995971   -0.143319098   -0.104364238   0.025245743   -0.018949183    0.101391377    0.073175078    0.312412534    0.170885337
 0.018561366    0.097013678   -0.134106023   -0.148270274    0.090285673   -0.375085204	  0.180250812    0.819845138    0.019370216    0.191570588   -0.163250958   -0.231590045  -0.147249944    0.100737417    0.058479772    0.048620623    0.114369736    0.419160534
 0.186619739    0.000199112    0.013945339   -0.017425832   -0.124120834    0.052886347	  0.239334465    0.019370216    0.355309047    0.091830077    0.001820733   -0.042418052  -0.000685944   -0.022622397    0.154423013    0.082074138    0.150015558    0.063704134
 0.059487138    0.109469517   -0.049231925   -0.013402612    0.015839207   -0.083577614	  0.053995971    0.191570588    0.091830077    0.272773290   -0.008420804   -0.004873156  -0.007432653   -0.006655154    0.062837785    0.123011813    0.035185743    0.134250145
 0.121920680    0.093488777    0.267558055    0.133634428   -0.034680611    0.097644736	 -0.143319098   -0.163250958    0.001820733   -0.008420804    0.477772859    0.209165223   0.134720644   -0.026979568   -0.037138866    0.013108796   -0.203685790   -0.112724213
 0.080190469    0.165475950    0.126387460    0.261049785   -0.030413701    0.091320407	 -0.104364238   -0.231590045   -0.042418052   -0.004873156    0.209165223    0.446099112   0.088889040    0.000690931   -0.024947653    0.016723915   -0.107039041   -0.223289310
-0.065119610    0.024417302    0.208218549    0.075692341   -0.375855486    0.130018894	  0.025245743   -0.147249944   -0.000685944   -0.007432653    0.134720644    0.088889040   0.975602407   -0.038295273   -0.197572347    0.014869673   -0.178438300   -0.071399015
 0.009544571   -0.124729137    0.097905498    0.199322071    0.051165198   -0.394530338	 -0.018949183    0.100737417   -0.022622397   -0.006655154   -0.026979568    0.000690931  -0.038295273    1.024095001    0.011175405   -0.222925648   -0.000195418   -0.050227395
 0.135225765   -0.000103681   -0.028486218   -0.021572180    0.062182301   -0.021440936	  0.101391377    0.058479772    0.154423013    0.062837785   -0.037138866   -0.024947653  -0.197572347    0.011175405    0.300539958    0.091299191    0.116975107    0.036816579
 0.037025157    0.100731424   -0.042667641    0.006347206   -0.020560320    0.080337543	  0.073175078    0.048620623    0.082074138    0.123011813    0.013108796    0.016723915   0.014869673   -0.222925648    0.091299191    0.317047521    0.032189896    0.109641733
 0.131541919    0.023472610   -0.217159347   -0.075944564   -0.051961100   -0.006771764	  0.312412534    0.114369736    0.150015558    0.035185743   -0.203685790   -0.107039041  -0.178438300   -0.000195418    0.116975107    0.032189896    0.475875827    0.126791377
 0.048911642    0.071195061   -0.100420748   -0.161520129    0.012259658   -0.127105889	  0.170885337    0.419160534    0.063704134    0.134250145   -0.112724213   -0.223289310  -0.071399015   -0.050227395    0.036816579    0.109641733    0.126791377    0.535292864
